单元编号,弯矩 (kN·m),轴力 (kN),剪力 (kN)
1785,134.43,-1709.1,0.83803
1786,134.89,-1708.2,5.58
1787,136.26,-1706.2,10.894
1788,138.63,-1703.3,16.335
1789,142.05,-1700.0,21.478
1790,146.44,-1696.4,26.086
1791,151.72,-1692.9,30.003
1792,157.74,-1689.3,33.074
1793,164.34,-1685.8,35.147
1794,171.34,-1682.3,36.066
1795,178.52,-1678.8,35.669
1796,185.62,-1675.3,33.781
1797,192.36,-1672.0,30.217
1798,198.42,-1668.6,24.776
1799,203.44,-1665.4,17.244
1800,207.02,-1662.2,7.392
1801,208.73,-1659.1,-5.0213
1802,208.07,-1656.1,-20.249
1803,204.51,-1653.2,-38.547
1804,197.46,-1650.4,-60.171
1805,186.28,-1647.8,-85.356
1806,170.3,-1645.2,-114.3
1807,148.81,-1642.6,-147.1
1808,121.06,-1639.3,-183.58
1809,86.361,-1633.6,-222.63
1810,44.215,-1623.3,-264.77
1811,-5.965199999999999,-1619.5,-270.55
1812,-43.376,-1622.4,-242.73
1813,-77.815,-1622.9,-215.44
1814,-109.18,-1621.1,-187.23
1815,-137.13,-1617.7,-158.47
1816,-161.4,-1613.0,-129.59
1817,-181.74,-1607.4,-100.67
1818,-197.93,-1601.1,-71.633
1819,-209.7,-1594.1,-42.275
1820,-216.77,-1586.6,-12.287
1821,-218.76,-1578.8,18.721
1822,-215.22,-1570.9,51.165
1823,-205.58,-1563.2,85.342
1824,-189.2,-1556.4,121.3
1825,-165.38,-1550.7,159.76
1826,-133.23,-1548.6,170.97
1827,-93.478,-1547.4,147.68
1828,-60.56,-1542.3,123.88
1829,-34.089,-1536.4,100.48
1830,-13.503,-1530.9,78.539
1831,1.9250999999999998,-1526.0,58.165
1832,12.883,-1521.6,39.372
1833,19.998,-1517.7,22.111
1834,23.836,-1514.3,6.2949
1835,24.894,-1511.3,-8.1787
1836,23.609,-1508.7,-21.39
1837,20.366,-1506.4,-33.425
1838,15.501,-1504.1,-44.678
1839,7.0998,-1501.0,-57.96
1840,-3.8057,-1497.6,-70.008
1841,-16.984,-1493.8,-80.967
1842,-32.229,-1489.5,-90.801
1843,-49.331,-1484.7,-99.447
1844,-68.065,-1479.4,-106.85
1845,-88.199,-1473.5,-112.94
1846,-109.49,-1467.1,-117.65
1847,-131.66,-1460.1,-120.87
1848,-154.46,-1452.7,-122.49
1849,-177.56,-1444.7,-122.37
1850,-200.65,-1436.3,-120.34
1851,-223.37,-1427.4,-116.24
1852,-245.32,-1418.0,-109.84
1853,-266.07,-1408.3,-100.95
1854,-285.17,-1398.2,-89.283
1855,-302.07,-1387.7,-74.528
1856,-316.21,-1376.4,-56.7
1857,-327.01,-1363.6,-36.8
1858,-334.07,-1349.4,-16.506
1859,-337.329,-1334.2,3.0252
1860,-336.92,-1318.6,21.51
1861,-333.04,-1302.7,38.977
1862,-325.89,-1286.3,55.41
1863,-315.656,-1269.7,70.773
1864,-302.54,-1252.8,85.038
1865,-286.75,-1235.6,98.181
1866,-268.49,-1218.3,110.18
1867,-247.99,-1200.9,121.03
1868,-225.45,-1183.4,130.71
1869,-201.09,-1165.8,139.21
1870,-175.15,-1148.3,146.53
1871,-147.83,-1130.9,152.68
1872,-119.36,-1113.7,157.65
1873,-89.968,-1096.7,161.45
1874,-59.862,-1079.9,164.1
