angle,design_N,design_M,design_V,quasi_N,quasi_M,quasi_V,gamma_d
0,-2389.38,190.47,11.77,-1706.70,136.05,8.41,1.0
6,-2372.51,209.29,38.72,-1694.65,149.49,27.66,1.0
12,-2352.77,244.94,49.24,-1680.55,174.96,35.17,1.0
18,-2336.14,277.30,33.71,-1668.67,198.07,24.08,1.0
24,-2320.71,289.91,-19.75,-1657.65,207.08,-14.11,1.0
30,-2305.10,245.99,-142.42,-1646.50,175.71,-101.73,1.0
36,-2280.49,85.99,-329.53,-1628.92,61.42,-235.38,1.0
42,-2270.98,-107.51,-301.18,-1622.13,-76.79,-215.13,1.0
48,-2253.72,-237.37,-161.13,-1609.80,-169.55,-115.09,1.0
54,-2215.64,-301.15,5.36,-1582.60,-215.11,3.83,1.0
60,-2179.48,-261.41,170.98,-1556.77,-186.72,122.13,1.0
66,-2161.14,-112.48,190.05,-1543.67,-80.34,135.75,1.0
72,-2133.67,7.46,69.37,-1524.05,5.33,49.55,1.0
78,-2114.24,32.45,-19.85,-1510.17,23.18,-14.18,1.0
84,-2101.26,8.76,-80.57,-1500.90,6.26,-57.55,1.0
90,-2081.59,-58.31,-132.33,-1486.85,-41.65,-94.52,1.0
96,-2048.69,-169.33,-165.89,-1463.35,-120.95,-118.49,1.0
102,-2010.58,-280.74,-167.51,-1436.13,-200.53,-119.65,1.0
108,-1964.27,-384.52,-131.11,-1403.05,-274.66,-93.65,1.0
114,-1898.26,-460.11,-37.45,-1355.90,-328.65,-26.75,1.0
120,-1812.06,-459.03,65.34,-1294.33,-327.88,46.67,1.0
126,-1729.80,-400.30,136.92,-1235.57,-285.93,97.80,1.0
132,-1644.44,-297.39,188.12,-1174.60,-212.42,134.37,1.0
138,-1547.42,-145.95,222.56,-1105.30,-104.25,158.97,1.0
144,-1466.40,2.30,231.91,-1047.43,1.64,165.65,1.0
150,-1392.86,151.96,221.76,-994.90,108.54,158.40,1.0
156,-1320.96,309.48,190.40,-943.54,221.06,136.00,1.0
162,-1265.81,438.13,141.34,-904.15,312.95,100.96,1.0
168,-1233.19,518.42,87.98,-880.85,370.30,62.84,1.0
174,-1217.65,560.13,28.43,-869.75,400.09,20.31,1.0
180,-1220.20,560.13,-41.41,-871.57,400.09,-29.58,1.0
186,-1240.08,518.42,-99.75,-885.77,370.30,-71.25,1.0
192,-1276.76,438.13,-150.78,-911.97,312.95,-107.70,1.0
198,-1335.94,309.48,-195.99,-954.24,221.06,-139.99,1.0
204,-1411.03,151.96,-222.43,-1007.88,108.54,-158.88,1.0
210,-1486.56,2.30,-227.65,-1061.83,1.64,-162.61,1.0
216,-1568.66,-145.95,-212.95,-1120.47,-104.25,-152.11,1.0
222,-1665.93,-297.39,-172.24,-1189.95,-212.42,-123.03,1.0
228,-1750.46,-400.30,-115.68,-1250.33,-285.93,-82.63,1.0
234,-1831.06,-459.03,-39.10,-1307.90,-327.88,-27.93,1.0
240,-1913.17,-460.11,66.72,-1366.55,-328.65,47.66,1.0
246,-1974.17,-384.52,147.42,-1410.12,-274.66,105.30,1.0
252,-2018.24,-280.74,171.75,-1441.60,-200.53,122.68,1.0
258,-2053.73,-169.33,161.35,-1466.95,-120.95,115.25,1.0
264,-2083.62,-58.31,119.90,-1488.30,-41.65,85.64,1.0
270,-2101.30,8.76,63.56,-1500.93,6.26,45.40,1.0
276,-2114.49,32.45,0.15,-1510.35,23.18,0.11,1.0
282,-2135.81,7.46,-97.54,-1525.58,5.33,-69.67,1.0
288,-2161.36,-112.48,-212.24,-1543.83,-80.34,-151.60,1.0
294,-2185.02,-261.41,-122.46,-1560.73,-186.72,-87.47,1.0
300,-2223.27,-301.15,34.86,-1588.05,-215.11,24.90,1.0
306,-2258.79,-237.37,198.51,-1613.42,-169.55,141.79,1.0
312,-2269.08,-107.51,336.97,-1620.77,-76.79,240.69,1.0
318,-2287.49,85.99,282.03,-1633.92,61.42,201.45,1.0
324,-2307.90,245.99,100.10,-1648.50,175.71,71.50,1.0
330,-2324.21,289.91,-4.14,-1660.15,207.08,-2.96,1.0
336,-2340.24,277.30,-45.82,-1671.60,198.07,-32.73,1.0
342,-2357.25,244.94,-53.40,-1683.75,174.96,-38.14,1.0
348,-2377.20,209.29,-37.30,-1698.00,149.49,-26.64,1.0
354,-2390.82,191.23,-12.50,-1707.73,136.59,-8.93,1.0
